t s
0 0
0.1 0.049
0.2 0.196
0.3 0.441
0.4 0.784
0.5 1.225
0.6 1.764
0.7 2.401
0.8 3.136
0.9 3.969
1 4.9
1.1 5.929
1.2 7.056
1.3 8.281
1.4 9.604
1.5 11.025
1.6 12.544
1.7 14.161
1.8 15.876
1.9 17.689
2 19.6
2.1 21.609
2.2 23.716
2.3 25.921
2.4 28.224
2.5 30.625
2.6 33.124
2.7 35.721
2.8 38.416
2.9 41.209
3 44.1
3.1 47.089
3.2 50.176
3.3 53.361
3.4 56.644
3.5 60.025
3.6 63.504
3.7 67.081
3.8 70.756
3.9 74.529
4 78.4
4.1 82.369
4.2 86.436
4.3 90.601
4.4 94.864
4.5 99.225
4.6 103.684
4.7 108.241
4.8 112.896
4.9 117.649
5 122.5
5.1 127.449
5.2 132.496
5.3 137.641
5.4 142.884
5.5 148.225
5.6 153.664
5.7 159.201
5.8 164.836
5.9 170.569
6 176.4
6.1 182.329
6.2 188.356
6.3 194.481
6.4 200.704
6.5 207.025
6.6 213.444
6.7 219.961
6.8 226.576
6.9 233.289
7 240.1
7.1 247.009
7.2 254.016
7.3 261.121
7.4 268.324
7.5 275.625
7.6 283.024
7.7 290.521
7.8 298.116
7.9 305.809
8 313.6
8.1 321.489
8.2 329.476
8.3 337.561
8.4 345.744
8.5 354.025
8.6 362.404
8.7 370.881
8.8 379.456
8.9 388.129
9 396.9
9.1 405.769
9.2 414.736
9.3 423.801
9.4 432.964
9.5 442.225
9.6 451.584
9.7 461.041
9.8 470.596
9.9 480.249
10 490
 
 
 
 
 
